capital,funcao,ano,valor_empenhado,valor_pago,taxa_execucao_pct
Prefeitura Municipal de Belém - PA,01 - Legislativa,2025,172910835.16,176350049.04,102.0
Prefeitura Municipal de Rio Branco - AC,01 - Legislativa,2025,60831751.72,60813116.31,100.0
Prefeitura Municipal de Manaus - AM,01 - Legislativa,2025,303949584.0,303341222.13,99.8
Prefeitura Municipal de Porto Velho - RO,01 - Legislativa,2025,62928365.06,62652920.42,99.6
Prefeitura Municipal de Salvador - BA,01 - Legislativa,2025,284738996.81,282408913.45,99.2
Prefeitura Municipal de São Luís - MA,01 - Legislativa,2025,172828102.97,171315303.88,99.1
Prefeitura Municipal de Goiânia - GO,01 - Legislativa,2025,248487852.92,242518620.61,97.6
Prefeitura Municipal de Fortaleza - CE,01 - Legislativa,2025,305372121.19,298078104.63,97.6
Prefeitura Municipal de Florianópolis - SC,01 - Legislativa,2025,96436754.71,93610668.9,97.1
Prefeitura Municipal de Belo Horizonte - MG,01 - Legislativa,2025,309922239.96,287025675.82,92.6
Prefeitura Municipal do Rio de Janeiro - RJ,01 - Legislativa,2025,1222413390.02,1125034339.72,92.0
Prefeitura Municipal de Fortaleza - CE,02 - Judiciária,2025,58749934.08,58189240.73,99.0
Prefeitura Municipal de Salvador - BA,02 - Judiciária,2025,67993563.33,66879573.6,98.4
Prefeitura Municipal de Florianópolis - SC,02 - Judiciária,2025,92606386.75,90916259.81,98.2
Prefeitura Municipal do Rio de Janeiro - RJ,02 - Judiciária,2025,233758273.29,211631136.4,90.5
Prefeitura Municipal de Rio Branco - AC,03 - Essencial à Justiça,2025,18083997.74,18083997.74,100.0
Prefeitura Municipal de Belém - PA,03 - Essencial à Justiça,2025,22693768.81,22692277.81,100.0
Prefeitura Municipal de Goiânia - GO,03 - Essencial à Justiça,2025,42061952.95,42060345.37,100.0
Prefeitura Municipal de Manaus - AM,03 - Essencial à Justiça,2025,45223918.25,44344941.1,98.1
Prefeitura Municipal de Fortaleza - CE,03 - Essencial à Justiça,2025,277454.97,258348.97,93.1
Prefeitura Municipal de Belém - PA,04 - Administração,2025,116887383.14,116534437.41,99.7
Prefeitura Municipal de Manaus - AM,04 - Administração,2025,634534161.84,628931776.29,99.1
Prefeitura Municipal de Goiânia - GO,04 - Administração,2025,1762977980.87,1741096150.42,98.8
Prefeitura Municipal de Rio Branco - AC,04 - Administração,2025,159317967.46,153149181.88,96.1
Prefeitura Municipal de Porto Velho - RO,04 - Administração,2025,517918842.02,493437394.08,95.3
Prefeitura Municipal de Salvador - BA,04 - Administração,2025,585549459.5,553939569.69,94.6
Prefeitura Municipal de São Luís - MA,04 - Administração,2025,476688958.82,446436814.96,93.7
Prefeitura Municipal de Fortaleza - CE,04 - Administração,2025,1034472745.71,967878483.75,93.6
Prefeitura Municipal do Rio de Janeiro - RJ,04 - Administração,2025,2330140444.68,2144837099.88,92.0
Prefeitura Municipal de Florianópolis - SC,04 - Administração,2025,541608275.24,481461039.11,88.9
Prefeitura Municipal de Belo Horizonte - MG,04 - Administração,2025,782125327.16,682409948.13,87.3
Prefeitura Municipal de Manaus - AM,05 - Defesa Nacional,2025,11804.2,11804.2,100.0
Prefeitura Municipal de Goiânia - GO,06 - Segurança Pública,2025,1143721.07,1143721.07,100.0
Prefeitura Municipal de Belém - PA,06 - Segurança Pública,2025,142107467.14,142080980.69,100.0
Prefeitura Municipal de Salvador - BA,06 - Segurança Pública,2025,126308825.06,124922727.36,98.9
Prefeitura Municipal de Manaus - AM,06 - Segurança Pública,2025,60766190.31,59772689.78,98.4
Prefeitura Municipal de Fortaleza - CE,06 - Segurança Pública,2025,393591419.2,385782417.03,98.0
Prefeitura Municipal do Rio de Janeiro - RJ,06 - Segurança Pública,2025,786889662.2,722297040.94,91.8
Prefeitura Municipal de Rio Branco - AC,06 - Segurança Pública,2025,21468249.36,19652694.36,91.5
Prefeitura Municipal de Florianópolis - SC,06 - Segurança Pública,2025,85901782.13,78266299.82,91.1
Prefeitura Municipal de Belo Horizonte - MG,06 - Segurança Pública,2025,412184926.63,368894671.63,89.5
Prefeitura Municipal de São Luís - MA,06 - Segurança Pública,2025,6458230.96,4739892.22,73.4
Prefeitura Municipal de Porto Velho - RO,06 - Segurança Pública,2025,534086.48,130725.0,24.5
Prefeitura Municipal do Rio de Janeiro - RJ,07 - Relações Exteriores,2025,9077919.0,8807000.8,97.0
Prefeitura Municipal de Manaus - AM,08 - Assistência Social,2025,228942982.61,223017471.23,97.4
Prefeitura Municipal de Belém - PA,08 - Assistência Social,2025,227524754.34,220869416.79,97.1
Prefeitura Municipal do Rio de Janeiro - RJ,08 - Assistência Social,2025,573658278.66,550271738.8,95.9
Prefeitura Municipal de Fortaleza - CE,08 - Assistência Social,2025,174294793.15,167092247.6,95.9
Prefeitura Municipal de Rio Branco - AC,08 - Assistência Social,2025,53040014.83,50644475.45,95.5
Prefeitura Municipal de Salvador - BA,08 - Assistência Social,2025,326162404.02,303510443.14,93.1
Prefeitura Municipal de Florianópolis - SC,08 - Assistência Social,2025,240790109.45,223755772.3,92.9
Prefeitura Municipal de Belo Horizonte - MG,08 - Assistência Social,2025,437682255.71,401763657.52,91.8
Prefeitura Municipal de São Luís - MA,08 - Assistência Social,2025,81306924.41,71946527.08,88.5
Prefeitura Municipal de Porto Velho - RO,08 - Assistência Social,2025,21340958.59,16222255.74,76.0
Prefeitura Municipal de Goiânia - GO,08 - Assistência Social,2025,9633383.84,6449559.26,67.0
Prefeitura Municipal de Fortaleza - CE,09 - Previdência Social,2025,1576646972.94,1576423607.69,100.0
Prefeitura Municipal de Goiânia - GO,09 - Previdência Social,2025,1291079126.04,1291079126.04,100.0
Prefeitura Municipal de Belém - PA,09 - Previdência Social,2025,15483733.51,15483733.51,100.0
Prefeitura Municipal de Salvador - BA,09 - Previdência Social,2025,798628513.27,798169448.69,99.9
Prefeitura Municipal de Rio Branco - AC,09 - Previdência Social,2025,122488024.05,122423966.65,99.9
Prefeitura Municipal de Porto Velho - RO,09 - Previdência Social,2025,239395143.04,238744520.45,99.7
Prefeitura Municipal de Manaus - AM,09 - Previdência Social,2025,650985794.37,648610039.36,99.6
Prefeitura Municipal de São Luís - MA,09 - Previdência Social,2025,544610006.86,536530302.95,98.5
Prefeitura Municipal de Florianópolis - SC,09 - Previdência Social,2025,529750275.5,500217726.36,94.4
Prefeitura Municipal do Rio de Janeiro - RJ,09 - Previdência Social,2025,6925912786.07,6392279265.65,92.3
Prefeitura Municipal de Belo Horizonte - MG,09 - Previdência Social,2025,2176300127.3,2004892348.11,92.1
Prefeitura Municipal de Belém - PA,10 - Saúde,2025,1535321534.89,1530781083.98,99.7
Prefeitura Municipal de Fortaleza - CE,10 - Saúde,2025,3606356225.07,3558623753.88,98.7
Prefeitura Municipal de Goiânia - GO,10 - Saúde,2025,2123805780.42,2089005643.09,98.4
Prefeitura Municipal de Manaus - AM,10 - Saúde,2025,1809366688.92,1754888655.55,97.0
Prefeitura Municipal de Salvador - BA,10 - Saúde,2025,2964695514.49,2871734595.06,96.9
Prefeitura Municipal do Rio de Janeiro - RJ,10 - Saúde,2025,7754089612.56,7423340856.06,95.7
Prefeitura Municipal de Porto Velho - RO,10 - Saúde,2025,614670335.17,583501264.01,94.9
Prefeitura Municipal de Rio Branco - AC,10 - Saúde,2025,301506080.15,281531739.09,93.4
Prefeitura Municipal de São Luís - MA,10 - Saúde,2025,1597288090.23,1478140802.08,92.5
Prefeitura Municipal de Florianópolis - SC,10 - Saúde,2025,654349308.17,600152962.5,91.7
Prefeitura Municipal de Belo Horizonte - MG,10 - Saúde,2025,6605059924.54,5852356866.06,88.6
Prefeitura Municipal de Belém - PA,11 - Trabalho,2025,1881162.04,1880379.21,100.0
Prefeitura Municipal de Rio Branco - AC,11 - Trabalho,2025,8597770.45,8202946.2,95.4
Prefeitura Municipal de Manaus - AM,11 - Trabalho,2025,57579151.69,54584240.52,94.8
Prefeitura Municipal do Rio de Janeiro - RJ,11 - Trabalho,2025,151734484.87,140714501.05,92.7
