capital,funcao,populacao,total_pago,gasto_per_capita
Prefeitura Municipal de Palmas - TO,01 - Legislativa,334454,60519997.2,180.95
Prefeitura Municipal de Boa Vista - RR,01 - Legislativa,408157,68432061.55,167.66
Prefeitura Municipal do Rio de Janeiro - RJ,01 - Legislativa,6625849,1060193047.01,160.01
Prefeitura Municipal de Rio Branco - AC,01 - Legislativa,364368,57413149.98,157.57
Prefeitura Municipal de Goiânia - GO,01 - Legislativa,1414483,213391655.25,150.86
Prefeitura Municipal de Recife - PE,01 - Legislativa,1494586,222654608.25,148.97
Prefeitura Municipal de Natal - RN,01 - Legislativa,751932,111241460.39,147.94
Prefeitura Municipal de Florianópolis - SC,01 - Legislativa,574200,82746542.06,144.11
Prefeitura Municipal de Aracaju - SE,01 - Legislativa,605309,82565134.21,136.4
Prefeitura Municipal de Vitória - ES,01 - Legislativa,331785,45120968.34,135.99
Prefeitura Municipal de Teresina - PI,01 - Legislativa,868523,114782304.85,132.16
Prefeitura Municipal de Cuiabá - MT,01 - Legislativa,694244,89664951.9,129.15
Prefeitura Municipal de Manaus - AM,01 - Legislativa,2054731,254817116.06,124.01
Prefeitura Municipal de São Luís - MA,01 - Legislativa,1061374,130881107.11,123.31
Prefeitura Municipal de João Pessoa - PB,01 - Legislativa,889618,107222832.11,120.53
Prefeitura Municipal de Campo Grande - MS,01 - Legislativa,942140,111840493.45,118.71
Prefeitura Municipal de Maceió - AL,01 - Legislativa,960667,110686766.85,115.22
Prefeitura Municipal de Porto Alegre - RS,01 - Legislativa,1404269,155662113.63,110.85
Prefeitura Municipal de Porto Velho - RO,01 - Legislativa,461748,47443718.28,102.75
Prefeitura Municipal de Salvador - BA,01 - Legislativa,2610987,260044133.51,99.6
Prefeitura Municipal de Belo Horizonte - MG,01 - Legislativa,2392678,237634064.43,99.32
Prefeitura Municipal de Belém - PA,01 - Legislativa,1367336,132460145.7,96.87
Prefeitura Municipal de Fortaleza - CE,01 - Legislativa,2596157,248144579.64,95.58
Prefeitura Municipal de São Paulo - SP,01 - Legislativa,12200180,1138935074.47,93.35
Prefeitura Municipal de Macapá - AP,01 - Legislativa,478448,44168369.19,92.32
Prefeitura Municipal de Curitiba - PR,01 - Legislativa,1871789,141494095.89,75.59
Prefeitura Municipal de Florianópolis - SC,02 - Judiciária,574200,75112554.7,130.81
Prefeitura Municipal de Porto Alegre - RS,02 - Judiciária,1404269,64454278.55,45.9
Prefeitura Municipal de Campo Grande - MS,02 - Judiciária,942140,30305071.19,32.17
Prefeitura Municipal do Rio de Janeiro - RJ,02 - Judiciária,6625849,201745767.78,30.45
Prefeitura Municipal de Salvador - BA,02 - Judiciária,2610987,63991202.71,24.51
Prefeitura Municipal de Fortaleza - CE,02 - Judiciária,2596157,61411055.79,23.65
Prefeitura Municipal de São Paulo - SP,02 - Judiciária,12200180,278301156.69,22.81
Prefeitura Municipal de João Pessoa - PB,02 - Judiciária,889618,139218.14,0.16
Prefeitura Municipal de Natal - RN,03 - Essencial à Justiça,751932,118512292.98,157.61
Prefeitura Municipal de Palmas - TO,03 - Essencial à Justiça,334454,25951955.65,77.59
Prefeitura Municipal de Rio Branco - AC,03 - Essencial à Justiça,364368,26379278.88,72.4
Prefeitura Municipal de Vitória - ES,03 - Essencial à Justiça,331785,15437100.33,46.53
Prefeitura Municipal de Curitiba - PR,03 - Essencial à Justiça,1871789,69631276.87,37.2
Prefeitura Municipal de Recife - PE,03 - Essencial à Justiça,1494586,54841507.44,36.69
Prefeitura Municipal de Manaus - AM,03 - Essencial à Justiça,2054731,42470991.33,20.67
